-54.53,-80.82,-53.34,,,,,,,,,,,,,,,,,,,,,
-56.30,502.28,-50.90,-79.65,219.96,-79.40,347.78,,,,,,,,,,,,,,,,,
-83.47,-79.65,490.70,-92.10,1412.96,,,,,,,,,,,,,,,,,,,
-95.95,213.27,-30.45,-21.55,33.02,,,,,,,,,,,,,,,,,,,
-67.14,-79.65,343.03,101.75,,,,,,,,,,,,,,,,,,,,
-35.21,-79.97,-5.21,,,,,,,,,,,,,,,,,,,,,
-79.10,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
-92.14,,,,,,,,,,,,,,,,,,,,,,,
320.76,,,,,,,,,,,,,,,,,,,,,,,
38.71,13.09,-79.65,392.25,,,,,,,,,,,,,,,,,,,,
-93.49,207.75,,,,,,,,,,,,,,,,,,,,,,
-92.16,-6.70,-49.99,152.99,,,,,,,,,,,,,,,,,,,,
-27.86,,,,,,,,,,,,,,,,,,,,,,,
-64.61,450.20,-79.65,-75.39,619.45,2068.52,,,,,,,,,,,,,,,,,,
-82.70,-1.79,-73.48,-23.27,-1.55,319.68,,,,,,,,,,,,,,,,,,
14.69,-60.45,-5.83,76.78,20.21,-89.47,505.19,374.78,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
-97.35,1078.51,-43.03,,,,,,,,,,,,,,,,,,,,,
-82.57,489.26,-79.65,466.09,-0.23,,,,,,,,,,,,,,,,,,,
-98.74,391.05,-91.86,736.83,-86.25,806.12,,,,,,,,,,,,,,,,,,
